Date	Town	State/Province	Latitude	Longitude	Number	Image
35	12/31/21	Palm Beach Gardens	FL	26.8	-80.1	1	
36	12/31/21	San Antonio	TX	29.6	-98.5	2	
37	12/31/21	Boynton Beach	FL	26.5	-80.1	2	
38	12/31/21	Houston	TX	29.7	-95.5	1	
39	12/31/21	St. Petersburg	FL	27.8	-82.6	1	
40	12/31/21	Bay City	TX	29	-96	2	
41	12/31/21	Titusville	FL	28.6	-80.8	1	
42	12/31/21	Fort Worth	TX	32.8	-97.2	1	
43	12/31/21	Mandeville	LA	30.4	-90	1	
44	12/31/21	New Iberia	LA	30	-91.8	3	
45	12/31/21	Houston	TX	29.8	-95.4	2	
46	12/31/21	Groveland	FL	28.6	-81.9	2	
47	12/31/21	Austin	TX	30.5	-97.8	1	
48	12/31/21	Pass Christian	MS	30.4	-89.3	1	
49	12/31/21	Luling	LA	29.8	-90.3	1	
50	12/31/21	Gulf Breeze	FL	30.4	-87.1	2	
51	12/31/21	Melbourne	FL	28.1	-80.6	2	
52	12/31/21	Lafayette	LA	30.2	-92.1	2	
53	12/31/21	Starks	LA	30.4	-93.7	4	
54	12/31/21	Lakewood Park	FL	27.5	-80.4	1	
55	12/31/21	Dickinson	TX	29.5	-95.1	1	
56	12/31/21	Spring	TX	30.2	-95.5	1	
57	12/31/21	Dallas	TX	32.8	-96.8	1	
58	12/31/21	Houston	TX	29.7	-95.4	1	
59	12/31/21	Austin	TX	30.3	-97.8	1	
60	12/31/21	Jacksonville	FL	30.3	-81.7	1	
61	12/31/21	Titusville	FL	28.6	-80.8	1	
62	12/31/21	Plano	TX	33	-96.7	1	
63	12/31/21	North Port	FL	27.1	-82.3	2	
64	12/30/21	Hollywood	FL	26	-80.1	1	
65	12/30/21	Lafayette	LA	30.2	-92.1	2	
66	12/30/21	Helotes	TX	29.6	-98.7	1	
67	12/30/21	Mission	TX	26.2	-98.3	3	
68	12/30/21	Houston	TX	29.8	-95.4	1	
69	12/30/21	Boynton Beach	FL	26.5	-80.1	1	
70	12/30/21	Wellington	FL	26.7	-80.3	1	
71	12/30/21	Melbourne	FL	28.1	-80.6	2	
72	12/30/21	Homestead	FL	25.5	-80.5	1	
73	12/30/21	New Braunfels	TX	29.7	-98.1	1	
74	12/30/21	Jacksonville	FL	30.3	-81.5	1	
75	12/30/21	League City	TX	29.5	-95.1	1	
76	12/30/21	Fort McAllister	GA	31.9	-81.2	1	
77	12/30/21	Green Cove Springs	FL	30	-81.7	1	
78	12/30/21	Baton Rouge	LA	30.4	-91.1	1	
79	12/30/21	Broussard	LA	30.2	-92	2	
80	12/30/21	Houston	TX	29.6	-95.2	1	
81	12/30/21	Sugar Land	TX	29.6	-95.6	2	
82	12/30/21	Pearland	TX	29.6	-95.3	1	
83	12/30/21	Lafayette	LA	30.2	-92	1	
84	12/30/21	St. Petersburg	FL	27.7	-82.7	2	
85	12/30/21	Half Moon Bay	CA	37.5	-122.4	2	
86	12/30/21	Bulverde	TX	29.8	-98.4	2	
87	12/30/21	Melbourne	FL	28.1	-80.6	1	
88	12/30/21		TX	29.7	-95.8	2	
89	12/30/21	League City	TX	29.5	-95.1	1	
90	12/30/21	New Orleans	LA	29.9	-90.1	1	
91	12/30/21	La Feria	TX	26.2	-97.8	1	
92	12/30/21	Georgetown	TX	30.6	-97.7	1	
93	12/30/21	Fort Worth	TX	33	-97.3	1	
94	12/30/21	Tampa	FL	27.9	-82.5	1	
95	12/30/21	Baton Rouge	LA	30.4	-91.1	1	
96	12/30/21	Dallas	TX	32.7	-96.8	2	
97	12/30/21	Missouri City	TX	29.6	-95.6	8	
98	12/30/21	Heath	TX	32.8	-96.4	1	
99	12/30/21	Galena Park	TX	29.7	-95.2	10	
100	12/30/21	Houston	TX	29.7	-95.4	1	
101	12/30/21	Houston	TX	29.8	-95.6	16	
102	12/30/21	Houston	TX	29.8	-95.4	1	
103	12/30/21	Lockhart	TX	29.9	-97.7	2	
104	12/30/21	Houston	TX	29.7	-95.5	1	
105	12/30/21	Orlando	FL	28.6	-81.4	1	
106	12/30/21	San Antonio	TX	29.6	-98.5	1	
107	12/30/21	Brownsville	TX	26	-97.5	2	
108	12/30/21	Jacksonville	FL	30.3	-81.7	2	
109	12/30/21	New Orleans	LA	30	-90.1	1	
110	12/30/21	Orange	TX	30.1	-93.7	4	
111	12/30/21	College Station	TX	30.6	-96.2	2	
112	12/30/21	Mission	TX	26.2	-98.3	1	
113	12/30/21	San Antonio	TX	29.5	-98.7	1	
114	12/30/21	Pass Christian	MS	30.3	-89.2	5	
115	12/30/21	Pass Christian	MS	30.3	-89.2	3	
116	12/30/21	Bay Minette	AL	30.8	-87.9	1	
117	12/30/21	Leander	TX	30.6	-97.9	1	
118	12/30/21	Leander	TX	30.6	-97.9	1	
119	12/30/21	San Antonio	TX	29.5	-98.7	1	
120	12/30/21	Fort Worth	TX	32.8	-97.2	4	
121	12/30/21	Morganza	LA	30.7	-91.6	1	
122	12/30/21	Rockport	TX	28	-97.1	3	
123	12/30/21	Fulton	TX	28.1	-97.1	1	
124	12/30/21	Luling	LA	29.8	-90.3	2	
125	12/30/21	New Iberia	LA	30	-91.8	3	
126	12/30/21	Houston	TX	29.7	-95.6	4	
127	12/30/21	Fort Pierce	FL	27.4	-80.3	7	
128	12/30/21	DeSoto	TX	32.6	-96.9	1	
129	12/30/21	Crestview	FL	30.8	-86.5	1	
130	12/30/21	Hockley	TX	30	-95.8	2	
131	12/29/21	San Antonio	TX	29.5	-98.5	1	
132	12/29/21	Corpus Christi	TX	27.7	-97.4	1	
133	12/29/21	Luling	LA	29.8	-90.3	1	
134	12/29/21	Richmond	TX	29.6	-95.7	3	
135	12/29/21	Floresville	TX	29.2	-98.2	1	
136	12/29/21	St. Petersburg	FL	27.8	-82.7	1	
137	12/29/21	Pearland	TX	29.5	-95.3	3	
138	12/29/21	River Ridge	LA	30	-90.2	1	
139	12/29/21	Fulton	TX	28.1	-97.1	1	
140	12/29/21	Lafayette	LA	30.2	-92	1	
141	12/29/21	San Antonio	TX	29.5	-98.8	5	
142	12/29/21	Marathon	FL	24.7	-81.1	3	
143	12/29/21	Gulf Shores	AL	30.3	-87.7	4	
144	12/29/21	Georgetown	TX	30.6	-97.7	1	
145	12/29/21	Pensacola	FL	30.5	-87.3	2	
146	12/29/21	New Iberia	LA	30.1	-91.8	1	
147	12/29/21	Houston	TX	29.7	-95.5	1	
148	12/29/21	Jacksonville	FL	30.3	-81.8	1	
149	12/29/21	Richland Hills	TX	32.8	-97.2	4	
150	12/29/21	San Antonio	TX	29.5	-98.6	2	
151	12/29/21	Nederland	TX	30	-94	3	
152	12/29/21	Land O' Lakes	FL	28.3	-82.5	1	
153	12/29/21	Spring Branch	TX	29.8	-98.4	1	
154	12/29/21	Rosenberg	TX	29.5	-95.7	1	
155	12/29/21	Round Rock	TX	30.5	-97.6	2	
156	12/29/21	San Antonio	TX	29.5	-98.5	5	
157	12/29/21	San Antonio	TX	29.6	-98.4	7	
158	12/29/21	Jacksonville	FL	30.3	-81.6	1	
159	12/29/21	Fruitville	FL	27.3	-82.4	8	
160	12/29/21	Lafayette	LA	30.2	-92.1	2	
161	12/29/21	San Antonio	TX	29.4	-98.7	1	
162	12/29/21	Troup	TX	32.1	-95.1	3	
163	12/29/21	Helotes	TX	29.6	-98.7	1	
164	12/29/21	Savannah	GA	31.9	-81	1	
165	12/29/21	Dickinson	TX	29.5	-95.1	1	
166	12/29/21	Palm Beach Gardens	FL	26.8	-80.1	2	
167	12/29/21	Port O'Connor	TX	28.5	-96.4	1	
168	12/29/21	Melbourne	FL	28.1	-80.6	2	
169	12/29/21	Missouri City	TX	29.6	-95.6	5	
170	12/29/21	New Iberia	LA	30	-91.8	2	
171	12/29/21	Jacksonville	FL	30.1	-81.5	1	
172	12/29/21	Allen	TX	33.1	-96.6	1	
173	12/29/21	Gulf Breeze	FL	30.4	-87	1	
174	12/29/21	Houston	TX	29.6	-95.1	1	
175	12/29/21	Houston	TX	29.7	-95.4	1	
176	12/29/21	Houston	TX	29.8	-95.4	1	
177	12/29/21	Bridge City	TX	30	-93.8	1	
178	12/29/21	Houston	TX	29.8	-95.4	2	
179	12/29/21	Plano	TX	33	-96.7	1	
180	12/29/21	St. Petersburg	FL	27.8	-82.7	2	
181	12/29/21	Katy	TX	29.8	-95.7	1	
182	12/29/21	Tybee Island	GA	32	-80.9	2	
183	12/29/21		FL	27.9	-80.5	7	
184	12/29/21	Baton Rouge	LA	30.4	-91.1	1	
185	12/29/21	New Iberia	LA	30.1	-91.8	1	
186	12/29/21	St. Petersburg	FL	27.8	-82.7	2	
187	12/29/21	Magnolia	TX	30.2	-95.6	1	
188	12/29/21	Albany	GA	31.5	-84.4	35	
189	12/28/21	St. Petersburg	FL	27.8	-82.7	1	
190	12/28/21	Hephzibah	GA	33.2	-82.1	1	
191	12/28/21	Fort Pierce	FL	27.4	-80.3	2	
192	12/28/21	St. Augustine	FL	29.8	-81.3	1	
193	12/28/21	Albany	GA	31.5	-84.4	40	
194	12/28/21	Spring Hill	FL	28.5	-82.5	1	
195	12/28/21	Jacksonville	FL	30.3	-81.6	1	
196	12/28/21	Brandon	FL	27.9	-82.3	1	
197	12/28/21	Arlington	TX	32.6	-97.2	1	
198	12/28/21	Orange Park	FL	30.2	-81.8	1	
199	12/28/21	Houston	TX	29.9	-95.6	1	
200	12/28/21	Corpus Christi	TX	27.8	-97.4	3	
201	12/28/21	Mulberry	FL	27.9	-82	1	
202	12/28/21	Denison	TX	33.7	-96.5	1	
203	12/28/21	Allen	TX	33.1	-96.7	1	
204	12/28/21	Jacksonville	FL	30.3	-81.6	3	
205	12/28/21	Richardson	TX	33	-96.7	1	
206	12/28/21	Middleburg	FL	30.1	-81.8	1	
207	12/28/21	Melbourne	FL	28.1	-80.6	2	
208	12/28/21	River Ridge	LA	30	-90.2	1	
209	12/28/21	Englewood	FL	26.9	-82.3	2	
210	12/28/21	Eastpoint	FL	29.6	-84.9	2	
211	12/28/21	Converse	TX	29.5	-98.3	2	
212	12/28/21	San Antonio	TX	29.6	-98.5	2	
213	12/28/21	Thibodaux	LA	29.8	-90.8	2	
214	12/28/21	Jacksonville	FL	30.2	-81.5	1	
215	12/28/21	West Palm Beach	FL	26.7	-80.3	2	
216	12/28/21	Daphne	AL	30.6	-87.9	1	
217	12/28/21	Molino	FL	30.7	-87.3	1	
218	12/28/21	Charleston	SC	32.8	-80	1	
219	12/28/21	Austin	TX	30.3	-97.8	1	
220	12/28/21	Ormond Beach	FL	29.4	-81.2	1	
221	12/28/21	McKinney	TX	33.2	-96.6	1	
222	12/28/21	Humble	TX	30	-95.2	1	
223	12/28/21	Lafayette	LA	30.2	-92.1	1	
224	12/28/21	Porter	TX	30.1	-95.2	1	
225	12/28/21	Cypress	TX	30	-95.7	3	
226	12/28/21	Green Cove Springs	FL	30	-81.8	1	
227	12/28/21	Fort Worth	TX	32.8	-97.2	5	
228	12/28/21	New Iberia	LA	30	-91.8	2	
229	12/28/21	Austin	TX	30.3	-97.8	1	
230	12/28/21	Harker Heights	TX	31.1	-97.7	1	
231	12/28/21	West Palm Beach	FL	26.8	-80.1	2	
232	12/28/21	Houston	TX	30.1	-95.2	3	
233	12/28/21	Gulf Shores	AL	30.3	-87.7	1	
234	12/28/21	Oldsmar	FL	28.1	-82.7	2	
235	12/28/21	League City	TX	29.5	-95.1	1	
236	12/28/21	Jacksonville	FL	30.3	-81.7	1	
237	12/28/21	Edinburg	TX	26.3	-98.2	2	
238	12/28/21	Houston	TX	29.7	-95.4	1	
239	12/28/21	Houston	TX	29.8	-95.4	1	
240	12/28/21	Winter Garden	FL	28.5	-81.6	1	
241	12/28/21	Baxley	GA	31.7	-82.5	2	
242	12/27/21	Houston	TX	29.8	-95.3	1	
243	12/27/21	Bradenton	FL	27.4	-82.6	1	
244	12/27/21	Harlingen	TX	26.2	-97.7	3	
245	12/27/21	Boynton Beach	FL	26.5	-80.1	4	
246	12/27/21	Metairie	LA	30	-90.2	1	
247	12/27/21	Boynton Beach	FL	26.5	-80.1	1	
248	12/27/21	Gulfport	MS	30.4	-89.1	5	
249	12/27/21	Saint Petersburg	FL	27.8	-82.7	5	
250	12/27/21	Carrollton	TX	33	-96.9	1	
251	12/27/21	Brenham	TX	30.2	-96.4	2	
252	12/27/21	Savannah	GA	32	-81	4	
253	12/27/21	Crosby	TX	29.9	-95.1	1	
254	12/27/21	Gulf Breeze	FL	30.4	-87.1	1	
255	12/27/21	Dallas	TX	32.8	-96.8	1	
256	12/27/21	Dallas	TX	32.9	-96.9	1	
257	12/27/21	Melbourne	FL	28.1	-80.6	2	
258	12/27/21	Richardson	TX	33	-96.7	1	
259	12/27/21	Dallas	TX	32.9	-96.8	1	
260	12/27/21	Missouri City	TX	29.6	-95.5	2	
261	12/27/21	Dallas	TX	32.8	-96.8	1	
262	12/27/21	Rockport	TX	28	-97	2	
263	12/27/21	Houston	TX	29.8	-95.4	1	
264	12/27/21	Saint Petersburg	FL	27.7	-82.7	1	
265	12/27/21	Harker Heights	TX	31.1	-97.7	1	
266	12/27/21	Pinellas Park	FL	27.9	-82.7	1	
267	12/27/21	Saint Helena Island	SC	32.3	-80.6	1	
268	12/27/21	Humble	TX	30	-95.2	2	
269	12/27/21	Katy	TX	29.8	-95.8	1	
270	12/27/21	Houston	TX	29.6	-95.1	4	
271	12/27/21	Fort Worth	TX	32.8	-97.2	6	
272	12/27/21	Jensen Beach	FL	27.3	-80.2	1	
273	12/27/21	New Orleans	LA	29.9	-90.1	1	
274	12/27/21	San Antonio	TX	29.5	-98.5	5	
275	12/27/21	Ormond Beach	FL	29.4	-81.2	1	
276	12/27/21	Mansfield	TX	32.6	-97.1	1	
277	12/27/21	Metairie	LA	30	-90.2	1	
278	12/27/21	Brownsville	TX	25.9	-97.5	1	
279	12/27/21	San Antonio	TX	29.6	-98.4	1	
280	12/27/21	Lafayette	LA	30.2	-92.1	2	
281	12/27/21	Austin	TX	30.4	-97.7	1	
282	12/27/21	Metairie	LA	30	-90.1	1	
283	12/27/21	Houston	TX	29.7	-95.6	1	
284	12/27/21	Jacksonville	FL	30.3	-81.6	3	
285	12/27/21	Nederland	TX	30	-94	4	
286	12/27/21	Corpus Christi	TX	27.7	-97.4	1	
287	12/27/21	San Antonio	TX	29.2	-98.4	1	
288	12/27/21	San Antonio	TX	29.5	-98.6	2	
289	12/27/21	Wellington	FL	26.7	-80.3	2	
290	12/27/21	Austin	TX	30.3	-97.8	1	
291	12/27/21	St Simons Island	GA	31.2	-81.4	1	
292	12/27/21	San Leon	TX	29.5	-94.9	1	
293	12/27/21	Elkton	FL	29.8	-81.4	6	
294	12/27/21	Missouri City	TX	29.6	-95.6	4	
295	12/27/21	Gulf Shores	AL	30.3	-87.7	4	
296	12/27/21	Magnolia	TX	30.1	-95.7	1	
297	12/27/21	Orange	TX	30.1	-93.7	1	
298	12/27/21	Edinburg	TX	26.3	-98.2	2	
299	12/27/21	Tomball	TX	30	-95.6	1	
300	12/27/21	Houston	TX	29.8	-95.4	2	
301	12/27/21	Dallas	TX	32.9	-96.9	2	
302	12/27/21	League City	TX	29.5	-95.1	1	
303	12/27/21	Houston	TX	29.8	-95.2	1	
304	12/26/21	Patterson	LA	29.7	-91.3	1	
305	12/26/21	League City	TX	29.5	-95.1	1	
306	12/26/21	Neptune Beach	FL	30.3	-81.4	4	
307	12/26/21	Christiansted	St Croix	17.8	-64.7	3	
308	12/26/21	Brownsville	TX	26	-97.5	1	
309	12/26/21	New Orleans	LA	30	-90.2	1	
310	12/26/21	Wellington	FL	26.7	-80.3	1	
311	12/26/21	Gainesville	FL	29.7	-82.3	11	
312	12/26/21	Saint Augustine	FL	29.9	-81.3	1	
313	12/26/21	Spring	TX	30.1	-95.5	1	
314	12/26/21	Fort Worth	TX	32.8	-97.2	7	
315	12/26/21	Georgetown	FL	29.4	-81.6	11	
316	12/26/21	The Villages	FL	28.9	-82	1	
317	12/26/21	Spring	TX	30.2	-95.5	1	
318	12/26/21	Richmond	TX	29.5	-95.7	1	
319	12/26/21	New Orleans	LA	30	-90.1	5	
320	12/26/21	Daphne	AL	30.6	-87.9	1	
321	12/26/21	Helotes	TX	29.6	-98.7	1	
322	12/26/21	Edisto Island	SC	32.5	-80.3	6	
323	12/26/21	Plano	TX	33.1	-96.7	1	
324	12/26/21	Plano	TX	33	-96.7	1	
325	12/26/21	Friendswood	TX	29.6	-95.2	5	
326	12/26/21	Edisto Island	SC	32.5	-80.3	3	
327	12/26/21	Ludowici	GA	31.7	-81.7	3	
328	12/26/21	Lafayette	LA	30.2	-92.1	3	
329	12/26/21	Palm Beach Gardens	FL	26.8	-80.1	2	
330	12/26/21	New Iberia	LA	30	-91.8	1	
331	12/26/21	Mount Pleasant	SC	32.8	-79.8	1	
332	12/26/21	Tampa	FL	27.9	-82.5	1	
333	12/26/21	Folly Beach	SC	32.7	-79.9	3	
334	12/26/21	Tybee Island	GA	32	-80.8	1	
335	12/26/21	Dickinson	TX	29.5	-95.1	1	
336	12/26/21	Saint Petersburg	FL	27.7	-82.7	2	
337	12/26/21	Melbourne	FL	28.1	-80.6	1	
338	12/26/21	San Antonio	TX	29.5	-98.5	2	
339	12/26/21	Pawleys Island	SC	33.4	-79.1	1	
340	12/26/21	Orlando	FL	28.6	-81.4	2	
341	12/26/21	Broussard	LA	30.1	-92	1	
342	12/26/21	Lafayette	LA	30.2	-92	1	
343	12/26/21	Leander	TX	30.6	-97.9	1	
344	12/26/21	Katy	TX	29.7	-95.8	2	
345	12/26/21	Orange	TX	30.1	-93.7	1	
346	12/26/21	Edinburg	TX	26.3	-98.2	1	
347	12/26/21	San Antonio	TX	29.4	-98.7	1	
348	12/26/21	Lady Lake	FL	28.9	-81.9	5	
349	12/26/21	Houston	TX	29.8	-95.4	1	
350	12/25/21	Daphne	AL	30.6	-87.8	1	
351	12/25/21	Saint Petersburg	FL	27.8	-82.7	2	
352	12/25/21	Fort Walton Beach	FL	30.4	-86.6	1	
353	12/25/21	Humble	TX	30	-95.2	2	
354	12/25/21	Jacksonville	FL	30.3	-81.6	1	
355	12/25/21	Sealy	TX	29.8	-96.1	1	
356	12/25/21	Fort Worth	TX	32.8	-97.2	6	
357	12/25/21	Humble	TX	30	-95.2	1	
358	12/25/21	Seminole	FL	27.8	-82.8	2	
359	12/25/21	Saint Augustine	FL	29.8	-81.3	1	
360	12/25/21	Sebastian	FL	27.8	-80.5	1	
361	12/25/21	Southlake	TX	33	-97.1	2	
362	12/25/21	Lake Worth	FL	26.6	-80.1	1	
363	12/25/21	Fort Worth	TX	32.8	-97.2	1	
364	12/25/21	Edisto Island	SC	32.5	-80.3	2	
365	12/25/21	Osteen	FL	28.8	-81.2	2	
366	12/25/21	Slidell	LA	30.3	-89.8	4	
367	12/25/21	Fulton	TX	28.1	-97	1	
368	12/25/21	Osteen	FL	28.8	-81.2	1	
369	12/25/21	Gause	TX	30.7	-96.7	1	
370	12/25/21	Houston	TX	29.7	-95.6	1	
371	12/25/21	The Villages	FL	28.9	-82	1	
372	12/25/21	San Marcos	TX	29.8	-98	1	
373	12/25/21	Jacksonville	FL	30.3	-81.7	2	
374	12/25/21	Colquitt	GA	31.2	-84.7	3	
375	12/25/21	Alvin	TX	29.4	-95.2	5	
376	12/25/21	Houston	TX	29.7	-95.5	1	
377	12/25/21	Dallas	TX	32.9	-96.7	1	
378	12/25/21	Luling	LA	29.8	-90.3	1	
379	12/25/21	Edinburg	TX	26.3	-98.2	1	
380	12/25/21	Corpus Christi	TX	27.7	-97.4	1	
381	12/25/21	Harker Heights	TX	31.1	-97.7	1	
382	12/25/21	Boynton Beach	FL	26.5	-80.1	1	
383	12/25/21	Groveland	FL	28.6	-81.9	1	
384	12/25/21	Wellington	FL	26.7	-80.2	2	
385	12/25/21	New Orleans	LA	29.9	-90.1	4	
386	12/25/21	Metairie	LA	30	-90.2	1	
387	12/25/21	Dallas	TX	32.8	-96.8	2	
388	12/25/21	Converse	TX	29.5	-98.3	1	
389	12/25/21	Saint Simons Island	GA	31.1	-81.4	1	
390	12/25/21	New Port Richey	FL	28.3	-82.6	1	
391	12/25/21	Ormond Beach	FL	29.4	-81.2	1	
392	12/25/21	Malabar	FL	28	-80.5	1	
393	12/25/21	Alachua	FL	29.7	-82.4	1	
394	12/25/21	Wellington	FL	26.7	-80.3	1	
395	12/25/21	Spring	TX	30.1	-95.5	1	
396	12/25/21	Austin	TX	30.3	-97.8	2	
397	12/25/21	Shalimar	FL	30.5	-86.6	3	
398	12/25/21	Melbourne	FL	28.1	-80.6	2	
399	12/25/21	Jensen Beach	FL	27.3	-80.2	1	
400	12/25/21	San Antonio	TX	29.6	-98.4	1	
401	12/25/21	Broussard	LA	30.1	-92	1	
402	12/25/21	Seabrook	TX	29.6	-95	1	
403	12/25/21	Edinburg	TX	26.3	-98.2	1	
404	12/25/21	Sugar Land	TX	29.6	-95.6	2	
405	12/25/21	Houston	TX	29.8	-95.4	2	
406	12/25/21	Jacksonville	FL	30.3	-81.7	1	
407	12/25/21	Plano	TX	33	-96.7	1	
408	12/25/21	Ocklawaha	FL	29	-81.9	3	
409	12/25/21	San Antonio	TX	29.5	-98.5	6	
410	12/25/21	Youngsville	LA	30.1	-92	2	
411	12/25/21	Albany	GA	31.5	-84.4	40	
412	12/25/21	Georgetown	TX	30.6	-97.7	1	
413	12/24/21	Plano	TX	33	-96.7	1	
414	12/24/21	Houston	TX	29.7	-95.4	3	
415	12/24/21	Lafayette	LA	30.2	-92.1	1	
416	12/24/21	Lafayette	LA	30.2	-92.1	1	
417	12/24/21	Jacksonville	FL	30.3	-81.6	1	
418	12/24/21	New Orleans	LA	30	-90.2	1	
419	12/24/21	Metairie	LA	30	-90.2	1	
420	12/24/21	Slidell	LA	30.3	-89.8	1	
421	12/24/21	West Palm Beach	FL	26.7	-80.2	1	
422	12/24/21	Lafayette	LA	30.2	-92.1	1	
423	12/24/21	Boynton Beach	FL	26.5	-80.1	2	
424	12/24/21	Addison	TX	33	-96.8	1	
425	12/24/21	College Station	TX	30.6	-96.3	1	
426	12/24/21	Fort Worth	TX	32.8	-97.2	3	
427	12/24/21	Marathon	FL	24.7	-81	1	
428	12/24/21	Longwood	FL	28.7	-81.3	2	
429	12/24/21	Spring	TX	30.1	-95.5	1	
430	12/24/21	Saint Simons Island	GA	31.3	-81.4	1	
431	12/24/21	Katy	TX	29.8	-95.7	1	
432	12/24/21	St Helena Island	SC	32.3	-80.5	1	
433	12/24/21	Pensacola	FL	30.4	-87.2	3	
434	12/24/21	League City	TX	29.5	-95.1	1	
435	12/24/21	Humble	TX	30	-95.2	1	
436	12/24/21	Gulf Shores	AL	30.3	-87.7	1	
437	12/24/21	Tampa	FL	28	-82.6	2	
438	12/24/21	Katy	TX	29.8	-95.8	1	
439	12/24/21	Saint Johns	FL	30.1	-81.6	2	
440	12/24/21	Houston	TX	29.7	-95.6	1	
441	12/24/21	Morgan City	LA	29.7	-91.2	1	
442	12/24/21	Houston	TX	29.7	-95.4	1	
443	12/24/21	Orange	TX	30.1	-93.7	1	
444	12/24/21	Savannah	GA	32	-81	1	
445	12/24/21	Fort Worth	TX	32.8	-97.3	5	
446	12/24/21	Mansfield	TX	32.6	-97.1	1	
447	12/24/21	South Padre Island	TX	26.1	-97.2	1	
448	12/24/21	Saint Augustine	FL	29.9	-81.3	2	
449	12/24/21	New Iberia	LA	30	-91.8	1	
450	12/24/21	Wellington	FL	26.7	-80.2	1	
451	12/24/21	Mansfield	TX	32.6	-97.1	1	
452	12/24/21	Saint Augustine	FL	29.9	-81.3	1	
453	12/24/21	Seminole	FL	27.8	-82.8	5	
454	12/24/21	Sebastian	FL	27.8	-80.5	1	
455	12/24/21	Charleston	SC	32.8	-80	1	
456	12/24/21	Slidell	LA	30.3	-89.8	2	
457	12/24/21	Edinburg	TX	26.3	-98.2	1	
458	12/24/21	Jacksonville	FL	30.3	-81.7	2	
459	12/24/21	Clearwater	FL	28	-82.8	1	
460	12/24/21	Vero Beach	FL	27.6	-80.4	1	
461	12/24/21	Prairieville	LA	30.3	-91	1	
462	12/24/21	Lafayette	LA	30.2	-92.1	1	
463	12/24/21	Harker Heights	TX	31.1	-97.6	1	
464	12/24/21	Lafayette	LA	30.3	-92	1	
465	12/24/21	Friendswood	TX	29.5	-95.2	1	
466	12/24/21	Houston	TX	29.8	-95.6	2	
467	12/24/21	Loxahatchee	FL	26.7	-80.3	2	
468	12/24/21	Seabrook	TX	29.6	-95	1	
469	12/24/21	Jacksonville	FL	30.3	-81.7	1	
470	12/24/21	Lafayette	LA	30.2	-92.1	1	
471	12/24/21	Houston	TX	29.7	-95.4	1	
472	12/24/21	Houston	TX	29.8	-95.4	4	
473	12/24/21	Jacksonville	FL	30.3	-81.7	1	
474	12/23/21	Metairie	LA	30	-90.1	1	
475	12/23/21	Fort Worth	TX	32.8	-97.3	2	
476	12/23/21	Lafayette	LA	30.2	-92	1	
477	12/23/21	Brazoria	TX	28.9	-95.5	1	
478	12/23/21	The Villages	FL	28.9	-82	1	
479	12/23/21	Pass Christian	MS	30.3	-89.3	1	
480	12/23/21	Converse	TX	29.5	-98.3	1	
481	12/23/21	Fort Worth	TX	32.8	-97.2	2	
482	12/23/21	Houston	TX	29.7	-95.4	4	
483	12/23/21	Katy	TX	29.8	-95.7	1	
484	12/23/21	Edinburg	TX	26.3	-98.2	1	
485	12/23/21	Broussard	LA	30.1	-92	1	
486	12/23/21	Houston	TX	29.7	-95.4	1	
487	12/23/21	Baton Rouge	LA	30.4	-91	1	
488	12/23/21	Slidell	LA	30.3	-89.8	1	
489	12/23/21	Tampa	FL	27.9	-82.5	1	
490	12/23/21	Coppell	TX	33	-97	1	
491	12/23/21	Coral Springs	FL	26.3	-80.3	4	
