Date,Town,State/Province,Latitude,Longitude,Number,Image
191,11/02/14,Gualala,CA,38.8,-123.4,1
192,11/02/14,Punta Gorda,FL,27,-82.2,2
193,11/02/14,Spring,TX,30.1,-95.4,6
194,11/02/14,Caldwell,TX,30.5,-96.7,1
195,11/02/14,Long Beach,CA,33.8,-118.2,1
196,11/02/14,Fort Lauderdale,FL,26.1,-80.1,1
197,11/02/14,San Antonio,TX,29.5,-98.5,1
198,11/01/14,Texas City,TX,29.1,-95.1,22
199,11/01/14,Dripping Springs,TX,30.3,-98.1,1
200,11/01/14,Dallas,TX,32.8,-96.8,2
201,11/01/14,Kerrville,TX,30,-99.1,1
202,11/01/14,Austin,TX,30.2,-97.7,11
203,11/01/14,Lancaster,PA,40.1,-76.3,1
204,11/01/14,Monroe,LA,32.5,-92.1,1
205,11/01/14,Cuero,TX,29.1,-97.2,1
206,11/01/14,Carthage,NC,35.4,-79.4,3
207,11/01/14,Plains,GA,32,-84.4,1
208,11/01/14,Santa Ynez,CA,34.6,-120,5
209,10/31/14,wynne,AR,35.3,-90.8,1
210,10/31/14,Houston,TX,29.8,-95.4,1
211,10/31/14,sabine pass,TX,29.7,-94.2,5
212,10/31/14,Austin,TX,30.2,-97.7,6
213,10/31/14,king george,VA,38.3,-77.1,1
214,10/31/14,king george,VA,38.3,-77.1,1
215,10/31/14,Texas City,TX,29.4,-94.9,18
216,10/31/14,Athens,OH,39.3,-82.1,1
217,10/31/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,2
218,10/30/14,La Salle,MI,41.9,-83.5,1
219,10/30/14,Royse City,TX,33,-96.4,3
220,10/30/14,Tarpley,TX,29.7,-99.4,100
221,10/30/14,Waco,TX,31.6,-97.1,3
222,10/30/14,Belton,TX,31.1,-97.5,4
223,10/30/14,Austin,TX,30.2,-97.7,40
224,10/30/14,Middleburg,FL,30.1,-81.9,5
225,10/30/14,Houston,TX,29.8,-95.4,1
226,10/30/14,lasalle,ON,42.2,-83.1,1
227,10/30/14,Leamington,ON,42.1,-82.6,1
228,10/30/14,panama city beach,FL,30.2,-85.8,4
229,10/30/14,Allen,TX,33.1,-96.6,1
230,10/30/14,Austin,TX,30.2,-97.9,10
231,10/30/14,Houston,TX,29.8,-95.4,2
232,10/30/14,Bayshore,NY,40.7,-73.3,15
233,10/30/14,Tyler,TX,32.3,-95.3,1
234,10/30/14,Chickasha,OK,35,-98,1
235,10/30/14,Cuero,TX,29.1,-97.2,2
236,10/30/14,Kerrville,TX,30,-99.1,23
237,10/30/14,spring,TX,30.1,-95.4,1
238,10/30/14,Cameron,TX,30.8,-97,4
239,10/30/14,Zaragoza,SLP,22.2,-100.9,1
240,10/30/14,QuerÃ©taro,QUE,20.6,-100.4,3
241,10/30/14,Washington DC,WA,38.9,-77,1
242,10/30/14,Houston,TX,29.8,-95.4,1
243,10/30/14,Brooklyn,NY,40.7,-74,1
244,10/30/14,North Beach Haven,NJ,39.6,-74.2,3
245,10/30/14,"Cockeysville, MD",MD,39.5,-76.6,1
246,10/30/14,Rosenberg,TX,29.5,-95.9,5
247,10/30/14,Anchor Bay,CA,38.7,-123.5,1
248,10/29/14,Huntersville,NC,35.4,-80.9,1
249,10/29/14,hudson,NY,42.2,-73.7,1
250,10/29/14,Austin,TX,30.2,-97.7,50
251,10/29/14,North Beach Haven,NJ,39.6,-74.2,11
252,10/29/14,Theodore,AL,30.4,-88.1,8
253,10/29/14,Pawleys Island,SC,33.4,-79.2,1
254,10/29/14,Auberry,CA,37.1,-119.4,2
255,10/29/14,Keysville,VA,37,-78.5,3
256,10/29/14,Lexington,OK,35,-97.2,1
257,10/29/14,Broken Arrow,OK,36,-95.8,1
258,10/29/14,Kerens,TX,32.1,-96.2,9
259,10/29/14,Southern Pines,NC,35.2,-79.4,6
260,10/29/14,Leamington,ON,42,-82.6,1
261,10/29/14,Danville,KY,37.6,-84.8,2
262,10/29/14,Cleburne,TX,32.3,-97.5,1
263,10/29/14,Middleburg,FL,30.1,-81.9,2
264,10/29/14,New Albany,OH,40.1,-82.8,1
265,10/29/14,Austin,TX,30.2,-97.7,21
266,10/29/14,Grove Hill,AL,31.6,-87.7,1
267,10/29/14,Cuero,TX,29.1,-97.2,2
268,10/29/14,Tarpley,TX,29.7,-99.4,21
269,10/29/14,madison,CT,41.3,-72.6,2
270,10/29/14,Fort Worth,TX,32.8,-97.5,4
271,10/29/14,new bern,NC,35.1,-77,3
272,10/29/14,ZitÃ¡cuaro,MIC,19.4,-100.4,1
273,10/29/14,Humble,TX,30,-95.2,1
274,10/29/14,South Houston,TX,29.7,-95.2,2
275,10/29/14,Kerrville,TX,30,-99.1,2
276,10/29/14,Zaragoza,SLP,22.2,-100.9,2
277,10/29/14,Zaragoza,SLP,22.2,-100.9,2
278,10/29/14,Spring,TX,30.1,-95.4,3
279,10/29/14,Poughkeepsie,NY,41.7,-73.9,1
280,10/29/14,East Marion,NY,41.1,-72.3,4
281,10/29/14,North Beach Haven,NJ,39.6,-74.2,7
282,10/29/14,Lexington,KY,38,-84.5,1
283,10/28/14,North Beach Haven,NJ,39.6,-74.2,10
284,10/28/14,East Marion,NY,41.1,-72.3,3
285,10/28/14,North Beach Haven,NJ,39.6,-74.2,47
286,10/28/14,Granbury,TX,32.4,-97.8,6
287,10/28/14,Statham,GA,34,-83.6,8
288,10/28/14,Cedar Rapids,IA,42,-91.7,1
289,10/28/14,Comfort,TX,30,-98.7,8
290,10/28/14,Great Bend,KS,38.4,-98.8,2
291,10/28/14,Arcade,NY,42.6,-78.4,1
292,10/28/14,Dallas,TX,32.8,-96.8,3
293,10/28/14,Copperas Cove,TX,31.3,-98.1,20
294,10/28/14,Carmel Highlands,CA,36.5,-121.9,25
295,10/28/14,Tupper Lake,NY,44.2,-74.4,1
296,10/28/14,Belton,TX,31.1,-97.5,4
297,10/28/14,Kerrville,TX,30,-99.1,2
298,10/28/14,Theodore,AL,30.4,-88.1,4
299,10/28/14,Tweed,ON,44.5,-77.3,1
300,10/28/14,Cleburne,TX,32.3,-97.5,5
301,10/28/14,Hackensack,NJ,40.9,-74,1
302,10/28/14,Austin,TX,30.2,-97.7,28
303,10/28/14,Fincastle,VA,37.5,-79.9,1
304,10/28/14,star city,AR,33.9,-91.9,10
305,10/28/14,Gardnerville,NV,38.8,-119.6,1
306,10/28/14,Minneapolis,MN,45,-93.3,1
307,10/28/14,Chalk Mountain,TX,32.1,-97.9,4
308,10/28/14,"Charlotte, NC",NC,35.2,-80.6,2
309,10/28/14,"Charlotte, NC",NC,35.2,-80.6,1
310,10/28/14,Lindale,TX,32.5,-95.4,1
311,10/28/14,Santa Monica,CA,34,-118.5,1
312,10/28/14,mequon,WI,43.2,-88,3
313,10/28/14,Keysville,VA,37,-78.5,2
314,10/28/14,West Yarmouth,MA,41.7,-70.2,2
315,10/28/14,Middleburg,FL,30.1,-81.9,4
316,10/28/14,Kerrville,TX,30,-99.1,20
317,10/28/14,Cuero,TX,29.1,-97.2,1
318,10/28/14,norristown,PA,40.1,-75.3,1
319,10/28/14,Parque Nacional GogorrÃ³n,SLP,21.8,-100.9,10
320,10/28/14,Sewell,NJ,39.8,-75.1,1
321,10/28/14,"Smith Point County Park, LI, NY",NY,40.8,-72.8,1
322,10/28/14,"Smith Point County Park, LI, NY",NY,40.8,-72.8,1
323,10/28/14,Saltillo,COA,25.4,-101,1
324,10/28/14,Plains,GA,32,-84.4,14
325,10/28/14,Culver City,CA,34,-118.4,1
326,10/27/14,Palm Bay,FL,28,-80.6,1
327,10/27/14,Lititz,PA,40.2,-76.3,1
328,10/27/14,Weymouth,NJ,39.5,-74.8,1
329,10/27/14,Cuero,TX,29.1,-97.2,2
330,10/27/14,Cuero,TX,29.1,-97.2,1
331,10/27/14,college station,TX,30.6,-96.3,1
332,10/27/14,HARLINGEN,TX,26.2,-97.7,3
333,10/27/14,New Orleans,LA,30,-90.1,1
334,10/27/14,Austin,TX,30.2,-97.7,1
335,10/27/14,Dunkirk,MD,38.7,-76.6,1
336,10/27/14,Saltillo,COA,25.4,-101,25
337,10/27/14,Saltillo,COA,25.4,-101,1
338,10/27/14,Williamsburg,VA,37.3,-76.7,1
339,10/27/14,Spring,TX,30.1,-95.4,3
340,10/27/14,Newport News,VA,37.1,-76.5,2
341,10/27/14,Lake Havasu,AZ,34.5,-114.3,28
342,10/27/14,Bayville,NJ,39.9,-74.2,1
343,10/27/14,N. Beach Haven,NJ,39.6,-74.2,7
344,10/27/14,Lancaster,PA,40.1,-76.3,3
345,10/27/14,Metairie,LA,30,-90.2,3
346,10/27/14,N. Beach Haven,NJ,39.6,-74.2,25
347,10/27/14,Lawrence,KS,39,-95.2,1
348,10/27/14,Comfort,TX,30,-98.7,10
349,10/27/14,willis,TX,30.4,-95.5,15
350,10/27/14,Boyce,VA,39.1,-78,1
351,10/27/14,Tallahassee,FL,30.4,-84.3,1
352,10/27/14,Humbird,WI,44.5,-90.9,1
353,10/27/14,Carmel Highlands,CA,36.5,-121.9,8
354,10/27/14,l'ILE-BIZARD,QC,45.5,-73.9,1
355,10/27/14,Douglassville,TX,33.2,-94.4,3
356,10/27/14,Teaneck,NJ,40.9,-74,1
357,10/27/14,Santa Cruz,CA,37.1,-122.2,4
358,10/27/14,Hagar Shores,MI,42.2,-86.4,1
359,10/27/14,McLean,VA,38.9,-77.2,2
360,10/27/14,Leamington,ON,42,-82.6,27
361,10/27/14,Lansdale,PA,40.2,-75.4,1
362,10/27/14,Salisbury,MA,42.8,-70.9,1
363,10/27/14,Aquinnah,MA,41.3,-70.8,1
364,10/27/14,Fort Worth,TX,32.8,-97.3,5
365,10/27/14,Fort Worth,TX,32.8,-97.3,3
366,10/27/14,Granbury,TX,32.4,-97.8,12
367,10/27/14,Charlotte,NC,35.2,-80.8,1
368,10/27/14,San Antonio,TX,29.5,-98.5,1
369,10/27/14,San Antonio,TX,29.5,-98.5,2
370,10/27/14,Lykens,PA,40.6,-76.7,2
371,10/27/14,Richmond,VA,37.5,-77.4,2
372,10/27/14,San Antonio,TX,29.5,-98.5,1
373,10/27/14,San Antonio,TX,29.5,-98.5,60
374,10/27/14,San Antonio,TX,29.5,-98.5,16
375,10/27/14,San Antonio,TX,29.5,-98.5,2
376,10/27/14,Saltillo,COA,25.4,-101,77
377,10/27/14,ConcepciÃ³n del Oro,ZAC,24.7,-101.4,43
378,10/27/14,Omaha,NE,41.3,-95.9,1
379,10/27/14,Rosetta McClain Gaedens Scarborough,ON,43.7,-79.3,3
380,10/27/14,San Antonio,TX,29.5,-98.5,1
381,10/27/14,Hackensack,NJ,40.9,-74,1
382,10/27/14,Kerrville,TX,30,-99.1,5
383,10/27/14,Washington,DC,38.9,-77,1
384,10/27/14,Santa Ana,NL,25.6,-100.2,3
385,10/27/14,Los Pinolillos,NL,25.6,-100.1,18
386,10/27/14,Chalk Mountain,TX,32.1,-97.9,1
387,10/26/14,Marysville,OH,40.3,-83.4,1
388,10/26/14,N. Beach Haven,NJ,39.6,-74.2,12
389,10/26/14,allen,TX,33.1,-96.6,1
390,10/26/14,La Grange,TX,29.9,-96.9,1
391,10/26/14,N. Beach Haven,NJ,39.6,-74.2,10
392,10/26/14,"Smiths Point Count Park, LI, NY",NY,40.8,-72.8,1
393,10/26/14,Georgetown,OH,38.9,-83.9,1
394,10/26/14,Rabbit Hash,KY,38.9,-84.8,1
395,10/26/14,Landisville,NJ,39.5,-74.9,1
396,10/26/14,Garland,TX,32.9,-96.6,2
397,10/26/14,Spring Hill,FL,28.5,-82.6,4
398,10/26/14,Boise,ID,43.7,-116.2,1
399,10/26/14,AUstin,TX,30.2,-97.7,10
400,10/26/14,Gary,TX,32,-94.2,3
401,10/26/14,Leamington,ON,42.1,-82.6,1
402,10/26/14,Fremont,NE,41.5,-96.5,1
403,10/26/14,willis,TX,30.4,-95.5,12
404,10/26/14,Tarpley,TX,29.7,-99.4,9
405,10/26/14,Houston,TX,29.8,-95.4,1
406,10/26/14,Richmond,VA,37.5,-77.4,1
407,10/26/14,Vale,NC,35.5,-81.4,1
408,10/26/14,Gilmanton,WI,44.5,-91.7,1
409,10/26/14,Hackensack,NJ,40.9,-74,1
410,10/26/14,Clemson,SC,34.7,-82.8,2
411,10/26/14,Austin,TX,30.2,-97.7,20
412,10/26/14,Springfield,MO,37.2,-93.3,1
413,10/26/14,south padre island,TX,26.4,-97.2,6
414,10/26/14,Robert Moses Beach Babylon NY,NY,40.6,-73.3,26
415,10/26/14,Middleburg,FL,30.1,-81.9,5
416,10/26/14,Dallas,GA,33.9,-84.9,1
417,10/26/14,Lawrence,IN,39.9,-85.9,1
418,10/26/14,Wylie,TX,33,-96.5,5
419,10/26/14,Cuero,TX,29.1,-97.2,2
420,10/26/14,Hamilton,ON,43.3,-79.9,1
421,10/26/14,Pawleys Island,SC,33.4,-79.2,1
422,10/26/14,Snyder,CO,40.3,-103.6,1
423,10/26/14,Comfort,TX,30,-98.7,3
424,10/26/14,San Antonio,TX,29.5,-98.5,1
425,10/26/14,Grapevine,TX,32.9,-97.1,7
426,10/26/14,San Antonio,TX,29.5,-98.5,1
427,10/26/14,Bayville,NJ,39.9,-74.2,2
428,10/26/14,Lindale,TX,32.5,-95.4,1
429,10/26/14,Argyle,TX,33.1,-97.2,3
430,10/26/14,Port Stanley,ON,42.7,-81.2,1
431,10/26/14,Toronto Island,ON,43.6,-79.4,1
432,10/26/14,San Diego,CA,32.7,-117.2,1
433,10/26/14,Amherstburg,ON,42.1,-83.1,1
434,10/26/14,tracys landing,MD,38.8,-76.6,1
435,10/26/14,Rock Springs,TX,30,-98.7,24
436,10/26/14,temple,TX,31.1,-97.3,6
437,10/26/14,Jackson,AL,31.4,-87.9,1
438,10/26/14,Fort Worth,TX,32.8,-97.3,2
439,10/26/14,Weatherford,TX,32.8,-97.7,3
440,10/26/14,Saint Anthony,MN,45,-93.2,1
441,10/26/14,Pacific Grove Butterfly Sanctuary,CA,36.6,-121.9,1
442,10/26/14,San Antonio,TX,29.5,-98.5,15
443,10/26/14,San Antonio,TX,29.5,-98.5,2
444,10/26/14,San Antonio,TX,29.5,-98.5,2
445,10/26/14,Kerrville,TX,30,-99.1,11
446,10/26/14,Snyder,CO,40.3,-103.6,1
447,10/26/14,JuÃ¡rez,NL,25.7,-100.1,32
448,10/26/14,Chalk Mountain,TX,32.1,-97.9,5
449,10/26/14,Palm Bay,FL,28,-80.6,1
450,10/26/14,TORRANCE,CA,33.8,-118.3,3
451,10/26/14,Bedford,TX,32.9,-97.1,1
452,10/26/14,San Pedro Garza GarcÃ­a,NL,25.8,-100.3,16
453,10/26/14,Monterrey,NL,25.7,-100.3,1
454,10/26/14,Spring,TX,30.1,-95.4,4
455,10/26/14,Aledo,TX,32.7,-97.6,1
456,10/25/14,Saltillo,COA,25.4,-101,30
457,10/25/14,GÃ³mez FarÃ­as,TAM,23.1,-99.2,25
458,10/25/14,Piedras Negras,COA,28.7,-100.5,25
459,10/25/14,Los Pinolillos,NL,25.6,-100.1,1
460,10/25/14,MÃºzquiz,COA,27.9,-101.5,1
461,10/25/14,Mason to Austin,TX,30.2,-97.8,41
462,10/25/14,San Antonio,TX,29.5,-98.5,1
463,10/25/14,Frederick,MD,39.4,-77.4,1
464,10/25/14,Lancaster,PA,40.1,-76.3,1
465,10/25/14,San Antonio,TX,29.5,-98.5,10
466,10/25/14,Myrtle Beach,SC,33.8,-78.8,12
467,10/25/14,Union,WV,37.6,-80.5,1
468,10/25/14,Hastings-on-Hudson,NY,41,-73.9,1
469,10/25/14,Chattanooga,TN,35,-85.2,7
470,10/25/14,Wyckoff,NJ,41,-74.2,1
471,10/25/14,Carmel Highlands,CA,36.5,-121.9,8
472,10/25/14,Dallas,TX,32.8,-96.8,3
473,10/25/14,Coppell,TX,33,-97,18
474,10/25/14,New Market,TN,36.1,-83.6,1
475,10/25/14,Leamington,ON,42.1,-82.6,5
476,10/25/14,Pleasantville,NJ,39.4,-74.6,3
477,10/25/14,Moss Bluff,LA,30.3,-93.3,1
478,10/25/14,Tulsa,OK,36.1,-96,6
479,10/25/14,Dunn Loring,VA,38.9,-77.2,1
480,10/25/14,Wynnewood,PA,40,-75.3,3
481,10/25/14,tomball,TX,30.1,-95.6,1
482,10/25/14,McLean,VA,38.9,-77.2,3
483,10/25/14,king george,VA,38.3,-77.1,4
484,10/25/14,Stamford,TX,32.9,-99.7,4
485,10/25/14,Granbury,TX,32.4,-97.7,3
486,10/25/14,Melrose,MA,42.5,-71.1,1
487,10/25/14,"Bronx, NYC",NY,40.9,-73.9,24
488,10/25/14,Charlotte,NC,35.2,-80.8,1
489,10/25/14,franklin,TN,35.9,-86.9,2
490,10/25/14,Myrtle Beach,SC,33.8,-78.8,3
491,10/25/14,La PeÃ±a,TAM,23.6,-99.7,5
492,10/25/14,Robert Moses Beach Babylon NY,NY,40.6,-73.3,12
493,10/25/14,Middleburg,FL,30.1,-81.9,4
494,10/25/14,Cuero,TX,29.1,-97.2,2
495,10/25/14,Fort Wayne,IN,41.1,-85.2,1
